Incident,Earlier Block,Exact Block,Later Block
ValueDefi-20210507,timed out,timed out,timed out
PancakeHunny-20210603,timed out,timed out,timed out
CFTToken-20220411,timed out,imbalanced pair,timed out
Novo-20220530,imbalanced pair,arbitrary call,imbalanced pair
LPC-20220725,timed out,timed out,timed out
EgdFinance-20220808,timed out,profited ,profited 
ShadowFinance-20220902,imbalanced pair,imbalanced pair,timed out
PLTD-20221017,imbalanced pair,imbalanced pair,imbalanced pair
SheepFarm-20221116,imbalanced pair,imbalanced pair,imbalanced pair
LaunchZone-20230227,arbitrary call,arbitrary call,arbitrary call
BigFinance-20230422,timed out,timed out,timed out
MetaPoint-20230412,timed out,profited ,timed out
Axioma-20230424,timed out,profited,timed out
CSToken-20230524,timed out,imbalanced pair,timed out
ARA-20230619,arbitrary call,arbitrary call,arbitrary call
ApeDAO-20230718,timed out,arbitrary call,arbitrary call
WGPT-20230712,timed out,timed out,profited 
Palmswap-20230725,imbalanced pair,imbalanced pair,imbalanced pair
Linear-20230921,timed out,timed out,timed out
MicDAO-20231019,timed out,timed out,timed out
